爬取时间(__time),爬取链接(__url),股票代码(symbol),股票名称(name),当前价(current),涨跌幅(percentage),涨跌额(change),今开(open),最高(high),最低(low),今收(close),昨收(last_close),52周最高(high52w),52周最低(low52week),成交量(volume),平均成交量(volumeAverage),总市值(marketCapital),每股收益(eps),市盈率TTM(pe_ttm),市盈率LYR(pe_lyr),总股本(totalShares),收盘时间(time),更新日期(updateAt),每股股息(dividend),收益率(yield),周转率(turnover_rate),涨停价(rise_stop),跌停价(fall_stop),货币单位(currency_unit),成交额(amount),每股净资产(net_assets),振幅(amplitude),每手股数(lot_size),流通股本(float_shares),流通市值(float_market_capital),市净率TTM(pb),市销率TTM(psr),关注数(fans),
"2018-08-23 00:33:25","http://xueqiu.com/v4/stock/quote.json?code=SH600533","SH600533","栖霞建设","2.93","-1.01%","-0.03","2.96","2.98","2.91","2.93","2.96","6.53","2.88","2410800.0","","3.0765E9","-0.01","52.337","56.794","1050000000","Wed Aug 22 15:00:00 +0800 2018","1510196133400","0.05","1.71%","0.23%","3.26","2.66","CNY","7058602.0","3.567","2.36%","100","1050000000","3.0765E9","0.82","2.2896","13810",
"2018-08-23 00:33:24","http://xueqiu.com/v4/stock/quote.json?code=SH600532","SH600532","宏达矿业","3.43","-1.72%","-0.06","3.47","3.54","3.43","3.43","3.49","14.28","3.33","8146200.0","2540002","1.7701054196E9","-0.03","","","516065720","Wed Aug 22 15:00:00 +0800 2018","1510122642159","0.0","0.0%","2.06%","3.84","3.14","CNY","2.8382765E7","3.5118","3.15%","100","396234400","1.359083992E9","0.98","3.1943","9605",
"2018-08-23 00:33:22","http://xueqiu.com/v4/stock/quote.json?code=SH600531","SH600531","豫光金铅","4.28","-1.15%","-0.05","4.31","4.31","4.26","4.28","4.33","8.88","4.18","3887165.0","15712862","4.66623847352E9","0.04","16.293","16.025","1090242634","Wed Aug 22 15:00:00 +0800 2018","1510209113502","0.08","1.87%","0.36%","4.76","3.9","CNY","1.6674192E7","3.0402","1.15%","100","1090242633","4.66623846924E9","1.41","0.2614","20863",
"2018-08-23 00:33:21","http://xueqiu.com/v4/stock/quote.json?code=SH600530","SH600530","交大昂立","5.23","-0.19%","-0.01","5.25","5.25","5.2","5.23","5.24","7.73","4.94","699192.0","","4.0794E9","0.04","25.866","25.428","780000000","Wed Aug 22 15:00:00 +0800 2018","1525071498584","0.07","1.34%","0.09%","5.76","4.72","CNY","3649552.0","2.0573","0.95%","100","780000000","4.0794E9","2.54","14.9184","12355",
"2018-08-23 00:33:19","http://xueqiu.com/v4/stock/quote.json?code=SH600529","SH600529","山东药玻","15.58","-2.2%","-0.35","15.77","16.08","15.2","15.58","15.93","18.73","12.86","3581160.0","9573997","6.62114106796E9","0.55","22.201","25.199","424976962","Wed Aug 22 15:00:00 +0800 2018","1525480400813","0.3","1.93%","0.99%","17.52","14.34","CNY","5.5581339E7","7.8467","5.52%","100","360332154","5.61397495932E9","1.99","2.6692","9688",
"2018-08-23 00:33:18","http://xueqiu.com/v4/stock/quote.json?code=SH600528","SH600528","中铁工业","10.84","0.46%","0.05","10.76","10.87","10.68","10.84","10.79","14.98","9.05","9548524.0","","2.408161921392E10","0.15","17.333","17.98","2221551588","Wed Aug 22 15:00:00 +0800 2018","1513578785055","0.19","1.75%","0.52%","11.87","9.71","CNY","1.03101419E8","6.7011","1.76%","100","1837748894","1.992119801096E10","1.62","1.4643","56235",
"2018-08-23 00:33:16","http://xueqiu.com/v4/stock/quote.json?code=SH600527","SH600527","江南高纤","2.49","-1.58%","-0.04","2.5","2.53","2.46","2.49","2.53","4.03","2.29","1.5052559E7","80209606","3.59340387165E9","0.02","50.957","51.294","1443134085","Wed Aug 22 15:00:00 +0800 2018","1511352001873","0.15","6.02%","1.25%","2.78","2.28","CNY","3.7480355E7","1.7221","2.77%","100","1203134085","2.99580387165E9","1.45","2.3915","13713",
"2018-08-23 00:33:14","http://xueqiu.com/v4/stock/quote.json?code=SH600526","SH600526","菲达环保","5.41","-1.46%","-0.08","5.47","5.48","5.41","5.41","5.49","12.39","5.36","877600.0","50848740","2.96145927552E9","0.02","","","547404672","Wed Aug 22 15:00:00 +0800 2018","1513771202101","0.05","0.92%","0.16%","6.04","4.94","CNY","4772011.0","4.2988","1.28%","100","547404671","2.96145927011E9","1.26","0.7669","29216",
"2018-08-23 00:33:11","http://xueqiu.com/v4/stock/quote.json?code=SH600525","SH600525","长园集团","7.27","-1.36%","-0.10","7.34","7.5","7.25","7.27","7.37","21.36","7.15","1.7737901E7","18136534","9.63040289504E9","0.06","8.209","8.475","1324677152","Wed Aug 22 15:00:00 +0800 2018","1524013201046","0.09","1.24%","1.36%","8.11","6.63","CNY","1.30859068E8","6.2184","3.39%","100","1305775151","9.49298534777E9","1.17","1.2281","19554",
"2018-08-23 00:33:10","http://xueqiu.com/v4/stock/quote.json?code=SH600523","SH600523","贵航股份","8.45","-0.12%","-0.01","8.46","8.52","8.39","8.45","8.46","14.66","7.79","591440.0","12398200","3.416430654E9","0.04","19.775","17.587","404311320","Wed Aug 22 15:00:00 +0800 2018","1510122658574","0.21","2.49%","0.15%","9.31","7.61","CNY","5001233.0","5.5765","1.54%","100","404044619","3.41417703055E9","1.52","1.0855","15099",
